,label_name,recommendedDisplayRGBValue,Model,Structure JSON,label_id,SegmentedPropertyCategoryCodeSequence.CodingSchemeDesignator,SegmentedPropertyCategoryCodeSequence.CodeValue,SegmentedPropertyCategoryCodeSequence.CodeMeaning,SegmentedPropertyTypeCodeSequence.CodingSchemeDesignator,SegmentedPropertyTypeCodeSequence.CodeValue,SegmentedPropertyTypeCodeSequence.CodeMeaning,SegmentedPropertyTypeModifierCodeSequence.CodingSchemeDesignator,SegmentedPropertyTypeModifierCodeSequence.CodeValue,SegmentedPropertyTypeModifierCodeSequence.CodeMeaning,AnatomicRegionSequence.CodingSchemeDesignator,AnatomicRegionSequence.CodeValue,AnatomicRegionSequence.CodeMeaning,AnatomicRegionModifierSequence.CodingSchemeDesignator,AnatomicRegionModifierSequence.CodeValue,AnatomicRegionModifierSequence.CodeMeaning
87,carpal_left,,peripheral_bones,"carpal_left: ""1"",",1,SCT,123037004,Anatomical Structure,SCT,83936004,Carpus,SCT,7771000.0,Left,,,,,,
88,carpal_right,,peripheral_bones,"carpal_right: ""2"",",2,SCT,123037004,Anatomical Structure,SCT,83936004,Carpus,SCT,24028007.0,Right,,,,,,
89,clavicle_left,,peripheral_bones,"clavicle_left: ""3"",",3,SCT,123037004,Anatomical Structure,SCT,51299004,Clavicle,SCT,7771000.0,Left,,,,,,
90,clavicle_right,,peripheral_bones,"clavicle_right: ""4"",",4,SCT,123037004,Anatomical Structure,SCT,51299004,Clavicle,SCT,24028007.0,Right,,,,,,
91,femur_left,"[130, 222, 207]",peripheral_bones,"femur_left: ""5"",",5,SCT,123037004,Anatomical Structure,SCT,71341001,Femur,SCT,7771000.0,Left,,,,,,
92,femur_right,"[130, 222, 207]",peripheral_bones,"femur_right: ""6"",",6,SCT,123037004,Anatomical Structure,SCT,71341001,Femur,SCT,24028007.0,Right,,,,,,
93,fibula_left,,peripheral_bones,"fibula_left: ""7"",",7,SCT,123037004,Anatomical Structure,SCT,87342007,Fibula,SCT,7771000.0,Left,,,,,,
94,fibula_right,,peripheral_bones,"fibula_right: ""8"",",8,SCT,123037004,Anatomical Structure,SCT,87342007,Fibula,SCT,24028007.0,Right,,,,,,
95,fingers_left,,peripheral_bones,"fingers_left: ""9"",",9,SCT,123037004,Anatomical Structure,SCT,7569003,Fingers,SCT,7771000.0,Left,,,,,,
96,fingers_right,,peripheral_bones,"fingers_right: ""10"",",10,SCT,123037004,Anatomical Structure,SCT,7569003,Fingers,SCT,24028007.0,Right,,,,,,
97,humerus_left,"[95, 229, 185]",peripheral_bones,"humerus_left: ""11"",",11,SCT,123037004,Anatomical Structure,SCT,85050009,Humerus,SCT,7771000.0,Left,,,,,,
98,humerus_right,"[95, 229, 185]",peripheral_bones,"humerus_right: ""12"",",12,SCT,123037004,Anatomical Structure,SCT,85050009,Humerus,SCT,24028007.0,Right,,,,,,
99,metacarpal_left,,peripheral_bones,"metacarpal_left: ""13"",",13,SCT,123037004,Anatomical Structure,SCT,36455000,Metacarpal bones,SCT,7771000.0,Left,,,,,,
100,metacarpal_right,,peripheral_bones,"metacarpal_right: ""14"",",14,SCT,123037004,Anatomical Structure,SCT,36455000,Metacarpal bones,SCT,24028007.0,Right,,,,,,
101,metatarsal_left,,peripheral_bones,"metatarsal_left: ""15"",",15,SCT,123037004,Anatomical Structure,SCT,53884002,Metatarsal,SCT,7771000.0,Left,,,,,,
102,metatarsal_right,,peripheral_bones,"metatarsal_right: ""16"",",16,SCT,123037004,Anatomical Structure,SCT,53884002,Metatarsal,SCT,24028007.0,Right,,,,,,
103,patella_left,,peripheral_bones,"patella_left: ""17"",",17,SCT,123037004,Anatomical Structure,SCT,64234005,Patella,SCT,7771000.0,Left,,,,,,
104,patella_right,,peripheral_bones,"patella_right: ""18"",",18,SCT,123037004,Anatomical Structure,SCT,64234005,Patella,SCT,24028007.0,Right,,,,,,
105,radius_left,,peripheral_bones,"radius_left: ""19"",",19,SCT,123037004,Anatomical Structure,SCT,62413002,Radius,SCT,7771000.0,Left,,,,,,
106,radius_right,,peripheral_bones,"radius_right: ""20"",",20,SCT,123037004,Anatomical Structure,SCT,62413002,Radius,SCT,24028007.0,Right,,,,,,
107,scapula_left,"[199, 204, 131]",peripheral_bones,"scapula_left: ""21"",",21,SCT,123037004,Anatomical Structure,SCT,79601000,Scapula,SCT,7771000.0,Left,,,,,,
108,scapula_right,"[199, 204, 131]",peripheral_bones,"scapula_right: ""22"",",22,SCT,123037004,Anatomical Structure,SCT,79601000,Scapula,SCT,24028007.0,Right,,,,,,
109,skull,"[255, 111, 97]",peripheral_bones,"skull: ""23"",",23,SCT,123037004,Anatomical Structure,SCT,89546000,Skull,,,,,,,,,
110,tarsal_left,,peripheral_bones,"tarsal_left: ""24"",",24,SCT,123037004,Anatomical Structure,SCT,108371006,Tarsal bones,SCT,7771000.0,Left,,,,,,
111,tarsal_right,,peripheral_bones,"tarsal_right: ""25"",",25,SCT,123037004,Anatomical Structure,SCT,108371006,Tarsal bones,SCT,24028007.0,Right,,,,,,
112,tibia_left,,peripheral_bones,"tibia_left: ""26"",",26,SCT,123037004,Anatomical Structure,SCT,12611008,Tibia,SCT,7771000.0,Left,,,,,,
113,tibia_right,,peripheral_bones,"tibia_right: ""27"",",27,SCT,123037004,Anatomical Structure,SCT,12611008,Tibia,SCT,24028007.0,Right,,,,,,
114,toes_left,,peripheral_bones,"toes_left: ""28"",",28,SCT,123037004,Anatomical Structure,SCT,785708006,Toes of left foot,,,,,,,,,
115,toes_right,,peripheral_bones,"toes_right: ""29"",",29,SCT,123037004,Anatomical Structure,SCT,785709003,Toes of right foot,,,,,,,,,
116,ulna_left,,peripheral_bones,"ulna_left: ""30"",",30,SCT,123037004,Anatomical Structure,SCT,23416004,Ulna,SCT,7771000.0,Left,,,,,,
117,ulna_right,,peripheral_bones,"ulna_right: ""31""",31,SCT,123037004,Anatomical Structure,SCT,23416004,Ulna,SCT,24028007.0,Right,,,,,,
118,autochthon_left,"[192, 104, 88]",muscles,"autochthon_left: ""1"",",1,SCT,123037004,Anatomical Structure,SCT,244849004,Deep muscle of back,SCT,7771000.0,Left,,,,,,
119,autochthon_right,"[192, 104, 88]",muscles,"autochthon_right: ""2"",",2,SCT,123037004,Anatomical Structure,SCT,244849004,Deep muscle of back,SCT,24028007.0,Right,,,,,,
120,gluteus_maximus_left,"[192, 104, 88]",muscles,"gluteus_maximus_left: ""3"",",3,SCT,123037004,Anatomical Structure,SCT,181674001,Gluteus maximus muscle,SCT,7771000.0,Left,,,,,,
121,gluteus_maximus_right,"[192, 104, 88]",muscles,"gluteus_maximus_right: ""4"",",4,SCT,123037004,Anatomical Structure,SCT,181674001,Gluteus maximus muscle,SCT,24028007.0,Right,,,,,,
122,gluteus_medius_left,"[192, 104, 88]",muscles,"gluteus_medius_left: ""5"",",5,SCT,123037004,Anatomical Structure,SCT,78333006,Gluteus medius muscle,SCT,7771000.0,Left,,,,,,
123,gluteus_medius_right,"[192, 104, 88]",muscles,"gluteus_medius_right: ""6"",",6,SCT,123037004,Anatomical Structure,SCT,78333006,Gluteus medius muscle,SCT,24028007.0,Right,,,,,,
124,gluteus_minimus_left,"[192, 104, 88]",muscles,"gluteus_minimus_left: ""7"",",7,SCT,123037004,Anatomical Structure,SCT,78333006,Gluteus medius muscle,SCT,7771000.0,Left,,,,,,
125,gluteus_minimus_right,"[192, 104, 88]",muscles,"gluteus_minimus_right: ""8"",",8,SCT,123037004,Anatomical Structure,SCT,78333006,Gluteus medius muscle,SCT,24028007.0,Right,,,,,,
126,iliopsoas_left,"[192, 104, 88]",muscles,"iliopsoas_left: ""9"",",9,SCT,123037004,Anatomical Structure,SCT,68455001,Iliopsoas muscle,SCT,7771000.0,Left,,,,,,
127,iliopsoas_right,"[192, 104, 88]",muscles,"iliopsoas_right: ""10""",10,SCT,123037004,Anatomical Structure,SCT,68455001,Iliopsoas muscle,SCT,24028007.0,Right,,,,,,
